campaign_id,overall_severity,session_count,affected_employees,attack_types,is_attack_chain
CAMP-001,Medium,10,EMP-0124,"Data Exfiltration, Device Spoofing, Impossible Travel, Insider Drift, Insider Threat, Off-hours Access, USB Data Theft",True
CAMP-002,Low,4,EMP-0172,"Malware Execution, Off-hours Access, Privilege Escalation",True
CAMP-003,Medium,7,EMP-0099,"Data Exfiltration, Insider Threat, Lateral Movement, Low-and-Slow Exfiltration, Malware Execution, Off-hours Access, USB Data Theft",True
CAMP-004,Medium,13,EMP-0155,"Brute Force, Data Exfiltration, Impossible Travel, Lateral Movement, Low-and-Slow Exfiltration, Off-hours Access, Privilege Escalation, Suspicious PowerShell, USB Data Theft",True
CAMP-005,Low,7,EMP-0130,"Data Exfiltration, Device Spoofing, Off-hours Access, Privilege Escalation, USB Data Theft",True
CAMP-006,Medium,18,"DEV-AGENT-0004, EMP-0004, SVC-0004","Beaconing C2, Brute Force, Data Exfiltration, Device Spoofing, Impossible Travel, Lateral Movement, Malware Execution, Privilege Escalation, Suspicious PowerShell, USB Data Theft",True
CAMP-007,Medium,18,"DEV-AGENT-0009, EMP-0009, SVC-0009","Brute Force, Credential Stuffing, Device Spoofing, Impossible Travel, Lateral Movement, Off-hours Access, Privilege Escalation, USB Data Theft",True
CAMP-008,Critical,13,"DEV-AGENT-0002, EMP-0002, SVC-0002","Beaconing C2, Brute Force, Low-and-Slow Exfiltration, Malware Execution, Off-hours Access, Privilege Escalation",True
CAMP-009,Medium,7,EMP-0145,"Brute Force, Data Exfiltration, Impossible Travel, Insider Threat, Privilege Escalation",True
CAMP-010,Low,9,EMP-0131,"Insider Drift, Low-and-Slow Exfiltration, Malware Execution, Off-hours Access, Privilege Escalation, USB Data Theft",True
CAMP-011,Medium,7,EMP-0012,"Brute Force, Credential Stuffing, Insider Drift, Lateral Movement, Low-and-Slow Exfiltration, Malware Execution",True
CAMP-012,Low,14,EMP-0121,"Data Exfiltration, Impossible Travel, Insider Threat, Lateral Movement, Malware Execution, Privilege Escalation, USB Data Theft",True
CAMP-013,Low,9,EMP-0027,"Beaconing C2, Brute Force, Insider Threat, Off-hours Access, Suspicious PowerShell, USB Data Theft",True
CAMP-014,Low,4,EMP-0067,"Brute Force, Data Exfiltration, Device Spoofing, Off-hours Access",True
CAMP-015,Medium,18,"DEV-AGENT-0008, EMP-0008, SVC-0008","Brute Force, Data Exfiltration, Impossible Travel, Insider Drift, Insider Threat, Lateral Movement, Malware Execution, Off-hours Access, Privilege Escalation",True
CAMP-016,Low,6,EMP-0038,"Data Exfiltration, Device Spoofing, Impossible Travel, Privilege Escalation, USB Data Theft",True
CAMP-017,Low,9,EMP-0096,"Credential Stuffing, Data Exfiltration, Impossible Travel, Malware Execution, Privilege Escalation, Suspicious PowerShell, USB Data Theft",True
CAMP-018,Medium,19,EMP-0049,"Brute Force, Data Exfiltration, Device Spoofing, Impossible Travel, Insider Threat, Lateral Movement, Malware Execution, Off-hours Access, Privilege Escalation",True
CAMP-019,Low,10,EMP-0118,"Brute Force, Credential Stuffing, Data Exfiltration, Device Spoofing, Insider Drift, Insider Threat, Malware Execution, Privilege Escalation, USB Data Theft",True
CAMP-020,Low,8,EMP-0015,"Data Exfiltration, Impossible Travel, Insider Threat, Lateral Movement, Low-and-Slow Exfiltration, Malware Execution",True
CAMP-021,Medium,10,EMP-0173,"Brute Force, Credential Stuffing, Data Exfiltration, Insider Threat, Lateral Movement, Malware Execution, Suspicious PowerShell, USB Data Theft",True
CAMP-022,Medium,14,EMP-0018,"Brute Force, Credential Stuffing, Device Spoofing, Insider Threat, Lateral Movement, Low-and-Slow Exfiltration, Off-hours Access, USB Data Theft",True
CAMP-023,Low,7,EMP-0119,"Brute Force, Credential Stuffing, Device Spoofing, Insider Threat, USB Data Theft",True
CAMP-024,Low,13,EMP-0174,"Device Spoofing, Impossible Travel, Insider Threat, Low-and-Slow Exfiltration, Privilege Escalation",True
